E	'i
آمنه	'Amene
آمنیون	'Amniyon
آموخت	'Amuxt
آموختنی	'Amuxtani
آموخته	'Amuxte
آموختگی	'Amuxtegi
آمود	'Amud
آمودریا	'AmudaryA
آمورف	'Amorf
آموز	'Amuz
آموزانه	'AmuzAne
آموزش	'AmuzeS
آموزشکده	'AmuzeSkade
آموزشگاه	'AmuzeSgAh
آموزشگاهی	'AmuzeSgAhi
آموزشگر	'AmuzeSgar
آموزشی	'AmuzeSi
آموزشیار	'AmuzeSyAr
آموزشیاری	'AmuzeSyAri
آموزش‌دهنده	'AmuzeSdahande
آموزش‌دیده	'AmuzeSdide
آموزش‌و‌پرورش	'AmuzeSoparvareS
آموزش‌پذیری	'AmuzeSpaziri
آموزنده	'Amuzande
آموزندگی	'Amuzandegi
آموزه	'Amuze
آموزگار	'AmuzegAr
آموزگاری	'AmuzegAri
آموس	'Amus
آمونیاک	'AmuniyAk
آمونیاکی	'AmuniyAki
آمونیت	'Amonit
آمونیم	'Amoniyom
آموکسی‌سیلین	'Amoksisilin
آمپر	'Amper
آمپرسنج	'Ampersanj
آمپرمتر	'Ampermetr
آمپلیفایر	'AmpelifAyer
آمپول	'Ampul
آمپول‌زن	'Ampulzan
آمپی‌سیلین	'Ampisilin
آمیب	'Amib
آمیتا	'AmitA
آمیخت	'Amixt
آمیخته	'Amixte
آمیختگی	'Amixtegi
آمید	'Amid
آمیرزا	'AmirzA
آمیز	'Amiz
آمیزش	'AmizeS
آمیزشی	'AmizeSi
آمیزه	'Amize
آمیزگار	'AmizgAr
آمیزگاری	'AmizgAri
آمیغ	'Amiq
آمیل	'Amil
آمیلوپکتین	'Amilopektin
آمین	'Amin
آمینه	'Amine
آمینواسید	'Amino'asid
آن	'An
آنا	'AnA
آنابولیسم	'AnAbolism
آنات	'AnAt
آناتول	'AnAtol
آناتولی	'AnAtoli
آناتولیا	'AnAtoliyA
آناتومی	'AnAtomi
آنارشی	'AnArSi
آنارشیست	'AnArSist
آنارشیستی	'AnArSisti
آنارشیسم	'AnArSism
آنافیلاکسی	'AnAfilAksi
آنالوگ	'AnAlog
آنالیز	'AnAliz
آنان	'AnAn
آناناس	'AnAnAs
آناهیتا	'AnAhitA
آناهید	'AnAhid
آناکوندا	'AnAkondA
آنتالپی	'AntAlpi
آنتالیا	'AntAliyA
آنتاگونیسم	'AntAgonism
آنتراسن	'AntrAsen
آنتراسیت	'AntrAsit
آنتراکت	'AnterAkt
آنتروپولوژی	'AnteropoloZi
آنتروپومتری	'Anteropometri
آنتروپی	'Antropi
آنتریک	'Antirik
آنتن	'Anten
آنتوان	'AntovAn
آنتوسیانین	'AntosiyAnin
آنتونی	'Antoni
آنتونیو	'Antoniyo
آنتیموان	'Antimu'An
آنتیمون	'Antimon
آنتیک	'Antik
آنتیگون	'Antigon
آنتی‌اکسیدان	'Anti'oksidAn
آنتی‌اکسیدانی	'Anti'oksidAni
آنتی‌بادی	'AntibAdi
آنتی‌بیوتیک	'Antibiyotik
آنتی‌بیوتیکی	'Antibiyotiki
آنتی‌تز	'Antitez
آنتی‌هیستامین	'AntihistAmin
آنتی‌ژن	'AntiZen
آنجا	'AnjA
آنجاکه	'AnjAke
آنجایی	'AnjAyi
آنجلس	'Anjeles
آند	'And
آندانت	'AndAnt
آندانته	'AndAnte
آندرسون	'Anderson
آندروژن	'AnderoZen
آندوتلیوم	'Andotelyom
آندوتوکسین	'Andotoksin
آندودرم	'Andoderm
آندورا	'AndorA
آندوسپرم	'Andosperm
آندوسکوپی	'Andoskopi
آندومتر	'Andometr
آندوژن	'AndoZen
آندوکارد	'AndokArd
آندوکرین	'Andokrin
آندیو	'Andiv
آنزیم	'Anzim
آنزیمی	'Anzimi
آنسفالیت	'AnsefAlit
آنفولانزا	'AnfolAnzA
آنقدر	'Anqadr
آنقره	'Anqore
آنقوت	'Anqut
آنمی	'Anemi
آنمی‌همولیتیک	'Anemihemolitik
آنها	'AnhA
آنهمه	'Anhame
آنوریسم	'Anurism
آنوش	'AnuS
آنوفل	'Anofel
آنچنان	'AnCenAn
آنچنانکه	'AnCenAnke
آنچنانی	'AnCenAni
آنچه	'AnCe
آنژ	'AnZ
آنژین	'AnZin
آنژیوپلاستی	'AnZiyopelAsti
آنژیوگرافی	'AnZiyogerAfi
آنکارا	'AnkArA
آنکت	'Anket
آنکولوژی	'AnkoloZi
آنگلا	'AngolA
آنگلوساکسون	'AngelosAkson
آنگلیکان	'AngelikAn
آنگه	'Angah
آنگولا	'AngolA
آنی	'Ani
آنیتا	'AnitA
آنیلین	'Anilin
آنیمیسم	'Animism
آنین	'Anin
آنیون	'Anyon
آن‌جهانی	'AnjahAni
آن‌سو	'Ansu
آن‌هم	'Anham
آن‌وری	'Anvari
آن‌گاه	'AngAh
آه	'Ah
آهار	'AhAr
آهاری	'AhAri
آهای	'AhAy
آهسته	'Aheste
آهسته‌آهسته	'Aheste'Aheste
آهستگی	'Ahestegi
آهن	'Ahan
آهنگ	'Ahang
آهنگر	'Ahangar
آهنگران	'AhangarAn
آهنگرانی	'AhangarAni
آهنگری	'Ahangari
آهنگسازی	'AhangsAzi
آهنگی	'Ahangi
آهنگین	'Ahangin
آهنگ‌ساز	'AhangsAz
آهنی	'Ahani
آهنین	'Ahanin
آهن‌آلات	'AhanAlAt
آهن‌بر	'Ahanbor
آهن‌بری	'Ahanbori
آهن‌دار	'AhandAr
آهن‌ربا	'AhanrobA
آهن‌ربایی	'AhanrobAyi
آهن‌فروش	'AhanfuruS
آهن‌کوب	'Ahankub
آهو	'Ahu
آهوئی	'Ahu'i
آهوان	'AhovAn
آهوبره	'Ahubarre
آهووش	'AhuvaS
آهوچشم	'AhuCeSm
آهویی	'Ahuyi
آهک	'Ahak
آهکی	'Ahaki
آهک‌پزی	'Ahakpazi
آهیانه	'AhiyAne
آهیانه‌ای	'AhiyAne'i
آهیخت	'Ahixt
آوا	'Av
آوائی	'AvA'i
آوار	'AvAr
آواره	'AvAre
آوارگی	'AvAregi
آوار‌برداری	'AvArbardAri
آواز	'AvAz
آوازخوان	'AvAzxAn
آوازخوانی	'AvAzxAni
آوازه	'AvAze
آوازی	'AvAzi
آواشناختی	'AvASenAxti
آوانس	'AvAns
آوانسیان	'AvAnsiyAn
آوانویسی	'AvAnevisi
آوانگارد	'AvAngArd
آوایی	'AvAyi
آوا‌شناسی	'AvASenAsi
آوج	'Avaj
آوخ	'Avax
آور	'Avar
آورد	'Avard
آورده	'Avarde
آورده‌شده	'AvardeSode
آوردگاه	'AvardgAh
آورنده	'Avarande
آوریل	'Avril
آوند	'Avand
آوندی	'Avandi
آونگ	'Avang
آوه	'Ave
آوی	'Avi
آویخت	'Avixt
آویخته	'Avixte
آویختگی	'Avixtegi
آویز	'Aviz
آویزان	'AvizAn
آویزه	'Avize
آویش	'AviS
آویشن	'AviSan
آوینی	'Avini
آوینیون	'Aviniyon
آْلوبالو	'AlubAlu
آپادانا	'ApAdAnA
آپارات	'ApArAt
آپاراتچی	'ApArAtCi
آپارتاید	'ApArtAyd
آپارتمان	'ApArtemAn
آپارتمانی	'ApArtemAni
آپارتمان‌سازی	'ApArtemAnisAzi
آپارتمان‌نشینی	'ApArtemAnneSini
آپاردی	'ApArdi
آپاندیس	'ApAndis
آپاندیسیت	'ApAndisit
آپوآنزیم	'Apo'Anzim
آپولو	'Apolo
آپیس	'Apis
آچ	'AC
آچار	'ACAr
آچمز	'Acmaz
آچه	'Ace
آژانس	'AZAns
آژاکس	'AZAks
آژند	'AZand
آژنگ	'AZang
آژید	'AZid
آژیده	'AZide
آژیدهاک	'AZidhAk
آژیر	'AZir
آک	'Ak
آکادمی	'AkAdemi
آکادمیسین	'AkAdemisyan
آکادمیک	'AkAdemik
آکادمیکی	'AkAdemiki
آکاردئون	'AkArde'on
آکاردئونی	'AkArde'oni
آکاسیا	'AkAsiyA
آکبند	'Akband
آکتور	'Aktor
آکتین	'Aktin
آکتینید	'Aktinid
آکتینیم	'Aktiniyom
آکتیویته	'Aktivite
آکد	'Aked
آکرد	'Akord
آکروبات	'AkrobAt
آکروباتی	'AkrobAti
آکروباتیک	'AkrobAtik
آکروباسی	'AkrobAsi
آکروماتیک	'AkromAtik
آکرومگالی	'AkromegAli
آکروپل	'Akropol
آکروپلیس	'Akropolis
آکروپولیس	'Akropolis
آکریدین	'Akridin
آکریفلاوین	'AkrifelAvin
آکریلونیتریل	'Akrilonitril
آکریلیک	'Akrilik
آکسان	'AksAn
آکسفورد	'Aksford
آکسون	'Akson
آکلاد	'AkolAd
آکله	'Akele
آکن	'Akan
آکند	'Akand
آکنده	'Akande
آکندگی	'Akandegi
آکنه	'Akne
آکواریم	'AkvAriyom
آکواریوم	'AkvAriyom
آکورد	'Akord
آکوستیک	'Akostik
آکوستیکی	'Akostiki
آکولاد	'AkulAd
آکومولاتور	'AkomulAtor
آکپ	'Akep
آکی	'Aki
آگارآگار	'AgArAgAr
آگاه	'AgAh
آگاهان	'AgAhAn
آگاهاند	'AgAhAnd
آگاهانه	'AgAhAne
آگاهانید	'AgAhAnid
آگاهی	'AgAhi
آگاهید	'AgAhid
آگاهینامه	'AgAhinAme
آگاهی‌بخش	'AgAhibaxS
آگاهی‌بخشی	'AgAhibaxSi
آگاهی‌دهنده	'AgAhidahande
آگاه‌سازی	'AgAhsAzi
آگاو	'AgAv
آگراندیسمان	'AgrAndismAn
آگرمان	'AgremAn
آگلوتینین	'Aglotinin
آگنوستیک	'Agnostik
آگه	'Agah
آگهی	'Agahi
آگوست	'Agost
آگوستین	'Agostin
آی	'Ay
آیا	'AyA
آیات	'AyAt
آیت	'Ayat
آیتم	'Aytem
آیت‌الله	'AyatollAh
آیت‌اللهی	'AyatollAhi
آیت‌الله‌العظمی	'AyatollAhol'ozmA
آیت‌الکرسی	'Ayatolkorsi
آیدا	'AydA
آیدین	'Aydin
آیرودینامیک	'AyrodinAmik
آیروسل	'Ayrosol
آیزنه	'Ayezne
آیزنهاور	'AyzonhAver
آیش	'AyeS
آیفون	'Ayfon
آیمارا	'AymArA
آینده	'Ayande
آینده‌اندیشی	Ayande'AndiSi
آینده‌ساز	'AyandesAz
آینده‌شناسی	'AyandeSenAsi
آینده‌نگر	'Ayandenegar
آینده‌نگرانه	'AyandenegarAne
آینده‌نگری	'Ayandenegari
آینده‌پژوه	'AyandepaZuh
آینده‌پژوهی	'AyandepaZuhi
آینه	'Ayene
آینه‌ای	'Ayene'i
آینه‌وار	'AyenevAr
آینه‌کاری	'AyenekAri
آینو	'Aynu
آیه	'Aye
آیه‌ای	'Aye'i
آیوا	'AyvA
آیکن	'Aykon
آیین	'Ayin
آیینه	'Ayine
آیینه‌بندان	'AyinebandAn
آیینه‌خانه	'AyinexAne
آیینه‌دار	'AyinedAr
آیینه‌داری	'AyinedAri
آیینه‌وند	'Ayinevand
آیینه‌کاری	'AyinekAri
آیین‌بندی	'Ayinbandi
آیین‌نامه	'AyinnAme
آیین‌نامه‌ای	'AyinnAme'i
آی‌سودا	'AysudA
آی‌کیو	'Aykiyu
آ‌سه‌آن	'Ase'An
ئی	'i
ئیدرات	'idrAt
ئیدروژن	'idroZen
ا	'alef
ائتلاف	'e'telAf
ائتلافی	'e'telAfi
ائمه	'a'emme
ائوزین	'e'ozin
ائوسن	'e'osen
اب	'ab
ابا	'ebA
اباالفضل‌العباس	'abAlfazle'abbAs
ابابکر	'abAbakr
ابابیل	'abAbil
اباحه	'ebAhe
اباذر	'abAzar
اباطیل	'abatil
اباعبدالله	'abA'abdellAh
اباقا	'AbAqA
اباقاخان	'AbAqAxAn
ابتدا	'ebtedA
ابتداء	'ebtedA
ابتدائی	'ebtedA'i
ابتدایی	'ebtedAyi
ابتذال	'ebtezAl
ابتر	'abtar
ابتلا	'ebtelA
ابتلاء	'ebtelA
ابتهاج	'ebtehAj
ابتهال	'ebtehAl
ابتکار	'ebtekAr
ابتکاری	'ebtekAri
ابتیاع	'ebtiyA'
ابجد	'abjad
ابجدی	'abjadi
ابد	'abad
ابدا	'abadA
ابداع	'ebdA'
ابداعی	'ebdA'i
ابداع‌کننده	'ebdA'konande
ابداع‌گر	'ebdA'gar
ابدال	'abdAl
ابدالآباد	'abadol'AbAd
ابدالدهر	'abadoddahr
ابدالی	'abdAli
ابدان	'abadAn
ابدی	'abadi
ابدیت	'abadiyyat
ابر	'abar
ابرا	'ebrA
ابرار	'abrAr
ابراز	'ebrAz
ابراز‌شده	'ebrAzSode
ابرام	'ebrAm
ابراهام	'AbrAhAm
ابراهیم	'ebrAhim
ابراهیمی	'ebrAhimi
ابراهیمیان	'ebrAhimiyAn
ابراهیمی‌فر	'ebrAhimifar
ابراهیم‌آباد	'ebrAhimAbAd
ابراهیم‌خان	'ebrAhimxAn
ابراهیم‌زاده	'ebrAhimzAde
ابراهیم‌نژاد	'ebrAhimneZAd
ابراهیم‌وار	'ebrAhimvAr
ابراهیم‌پور	'ebrAhimpur
ابردژ	'abardeZ
ابررسانا	'abarresAnA
ابررسانه	'abarresAne
ابرستاره	'abarsetAre
ابرشاره	'abarSAre
ابرشهر	'abarSahr
ابرقدرت	'abarqodrat
ابرقدرتی	'abarqodrati
ابرقو	'abarqu
ابرقویه	'abarquye
ابرمرد	'abarmard
ابرنواختر	'abarnow'axtar
ابره	'abre
ابرهارد	'abarhArd
ابرهه	'abrahe
ابرو	'abru
ابروان	'abrovAn
ابروکمان	'abrukamAn
ابروگشاده	'abrugoSAde
ابرکوه	'abarkuh
ابری	'abri
ابریشم	'abriSam
ابریشمی	'abriSami
ابریشمین	'abriSamin
ابریشم‌باف	'abriSambAf
ابریشم‌تاب	'abriSamtAb
ابریشم‌دوزی	'abriSamduzi
ابریشم‌کشی	'abriSamkeSi
ابریق	'ebriq
ابر‌رایانه	'abarrAyAne
ابر‌رسانایی	'abarresAnAyi
ابر‌کامپیوتر	'abarkAmpiyoter
ابزار	'abzAr
ابزارساز	'abzArsAz
ابزاری	'abzAri
ابزار‌آلات	'abzArAlAt
ابزار‌سازی	'abzArsAzi
ابسیدین	'obsidiyan
ابصار	'absAr
ابطال	'ebtAl
ابطال‌پذیر	'ebtAlpazir
ابطال‌پذیری	'ebtAlpaziri
ابطحی	'abtahi
ابط‌الجوزا	'ebtoljowzA
ابعاد	'ab'Ad
ابعادی	'ab'Adi
ابقا	'ebqA
ابقاء	'ebqA
ابلاغ	'eblAq
ابلاغی	'eblAqi
ابلاغیه	'eblAqiyye
ابلق	'ablaq
ابله	'ablah
ابلهانه	'ablahAne
ابلهی	'ablahi
ابلک	'ablak
ابلی	'boli
ابلیز	'ebliz
ابلیس	'eblis
ابلیسک	'eblisk
ابن	'ebn
ابناء	'abnA
ابنه	'obne
ابنیه	'abniye
ابنیه‌ای	'abniye'i
ابن‌اثیر	'ebne'asir
ابن‌السبیل	'ebnossabil
ابن‌الوقت	'ebnolvaqt
ابن‌بابویه	'ebnebAbevey
ابن‌بطوطه	'ebnebatute
ابن‌خلدون	'ebnexaldun
ابن‌رشد	'ebneroSd
ابن‌سینا	'ebnesinA
ابن‌عربی	'ebne'arabi
ابن‌هیثم	'ebneheysam
ابن‌یمین	'ebneyamin
ابه	'obe
ابهام	'ebhAm
ابهام‌آلود	'ebhAmAlud
ابهام‌آمیز	'ebhAmAmiz
ابهام‌آور	'ebhAmAvar
ابهام‌زدائی	'ebhAmzodA'i
ابهام‌زدایی	'ebhAmzodAyi
ابهت	'obohhat
ابهر	'abhar
ابهررود	'abharrud
ابهری	'abhari
ابو	'abu
ابواب	'abvAb
ابوابجمعی	'aboljam'i
ابواسحاق	'abu'eshAq
ابوالبشر	'abolbaSar
ابوالحسن	'abolhasan
ابوالحسنی	'abolhasani
ابوالخیر	'abolxeyr
ابوالعباس	'abol'abbAs
ابوالعلا	'abol'alA
ابوالفتح	'abolfath
ابوالفتحی	'abolfathi
ابوالفتح‌خان	'abolfathxAn
ابوالفتوح	'abolfotuh
ابوالفرج	'abolfaraj
ابوالفضل	'abolfazl
ابوالقاسم	'abolqAsem
ابوالقاسمی	'abolqAsemi
ابوالمعالی	'abolma'Ali
ابوالهول	'abolhol
ابوالوفا	'abolvafA
ابوایوب	'abu'ayyub
ابوبکر	'abubakr
ابوت	'abovvat
ابوتراب	'abutorAb
ابوترابی	'abutorAbi
ابوترابیان	'abutorAbiyAn
ابوجهل	'abujahl
ابوحاتم	'abuhAtam
ابوحامد	'abuhAmed
ابوحسن	'abuhasan
ابوحمزه	'abuhamze
ابوحنیفه	'abuhanife
ابوذر	'abuzar
ابوریحان	'abureyhAn
ابوسعیدابوالخیر	'abusa'ide'abolxeyr
ابوسفیان	'abusofyAn
ابوشکور	'abuSakur
ابوطالب	'abutAleb
ابوطالبی	'abutAlebi
ابوطیاره	'abutayyAre
ابوظبی	'abuzabi
ابوعطا	'abu'atA
ابوعلی	'abu'ali
ابوعلی‌سینا	'abu'alisinA
ابوغریب	'abuqarib
ابوقراضه	'abuqorAze
ابولهب	'abulahab
ابومحمد	'abumohammad
ابومسلم	'abumoslem
ابومنصور	'abumansur
ابونصر	'abunasr
ابونعیم	'abuna'im
ابوکالیجار	'abukAlijAr
ابوی	'abavi
ابوین	'abaveyn
ابو‌اسحق	'abu'eshAq
ابو‌جعفر	'abuja'far
ابو‌جهاد	'abujahAd
ابو‌دجانه	'abudajAne
ابو‌سعید	'abusa'id
ابو‌عبدالله	'abu'abdollAh
ابو‌موسی	'abumusA
ابژکتیو	'obZektiv
ابی	'abi
ابیات	'abyAt
ابیانه	'abyAne
ابیراهی	'abirAhi
ابیض	'abyaz
ابیورد	'abivard
ابی‌الحدید	'abelhadid
ابی‌الحسن	'abelhasan
ابی‌بکر	'abibakr
ابی‌ذر	'abizar
ابی‌سفیان	'abisofyAn
ابی‌طالب	'abitAleb
ابی‌عبدالله	'abi'abdellAh
ابی‌وقاص	'abivaqAs
اتئیست	'ete'ist
اتابک	'atAbak
اتابکان	'atAbakAn
اتابکی	'atAbaki
اتاق	'otAq
اتاقه	'otAge
اتاقک	'otAqak
اتاقی	'otAqi
اتاق‌خواب	'otAqxAb
اتان	'etAn
اتانال	'etAnAl
اتاوا	'otAvA
اتباع	'atbA'
اتحاد	'ettehAd
اتحادیه	'ettehAdiyye
اتحادیه‌ای	'ettehAdiyye'i
اتخاذ	'ettexAz
اتخاذ‌شده	'ettexAzSode
اتر	'eter
اترار	'otrAr
اتراق	'otrAq
اترک	'atrak
اتریش	'otriS
اتریشی	'otriSi
اتساع	'ettesA'
اتصاف	'ettesAf
اتصال	'ettesAl
اتصالات	'ettesAlAt
اتصالی	'ettesAli
اتصال‌دهنده	'ettesAldahande
اتفاق	'ettefAq
اتفاقی	'ettefAqi
اتفاقیه	'ettefAqiyye
اتفاق‌افتاده	'ettefAqoftAde
اتفاق‌نظر	'ettefAqenazar
اتقان	'etqAn
اتلاف	'etlAf
اتلال	'etlAl
اتلس	'atlas
اتم	'atamm
اتمام	'etmAm
اتمسفر	'atmosfer
اتمسفری	'atmosferi
اتمی	'atomi
اتمیسم	'atomism
اتهام	'ettehAm
اتهامی	'ettehAmi
اتو	'utu
اتوبان	'otubAn
اتوبوس	'otobus
اتوبوسرانی	'otobusrAni
اتوبیوگرافی	'otobiyogerAfi
اتوتروف	'ototerof
اتود	'etod
اتوریته	'otorite
اتوزوم	'otozom
اتوشویی	'utuSuyi
اتولیز	'otoliz
اتومات	'otomAt
اتوماتیک	'otumAtik
اتوماسیون	'otomAsiyon
اتومبیل	'otomobil
اتومبیلرانی	'otomobilrAni
اتومبیل‌رو	'otomobilrow
اتومبیل‌سازی	'otomobilsAzi
اتومبیل‌سواری	'otomobilsavAri
اتومکانیک	'otomekAnik
اتوپیا	'otopiyA
اتوکار	'otokAr
اتوکد	'otokad
اتوکراسی	'otokerAsi
اتوکشی	'utukeSi
اتوکشیده	'utukeSide
اتوکلاو	'otokelAv
اتپسی	'otopsi
اتکا	'ettekA
اتکاء	'ettekA
اتکائی	'ettekA'i
اتکال	'ettekAl
اتکایی	'ettekAyi
اتیت	'etit
اتیل	'etil
اتیلن	'etilen
اتیلین	'etilin
اتیمولوژی	'etimoloZi
اتین	'etin
اتیوپی	'etiyopi
اتیکت	'etiket
اثاث	'asAs
اثاثه	'asAse
اثاثیه	'asAsiyye
اثبات	'esbAt
اثباتی	'esbAti
اثبات‌شده	'esbAtSode
اثبات‌گر	'esbAtgar
اثبات‌گرایی	'esbAtgerAyi
اثر	'asar
اثربخش	'asarbaxS
اثربخشی	'asarbaxSi
اثرپذیر	'asarpazir
اثرپذیری	'asarpaziri
اثرگذاری	'asargozAri
اثر‌گذار	'asargozAr
اثنا	'asnA
اثناء	'asnA
اثنی‌عشر	'asnA'aSar
اثیر	'asir
اثیری	'asiri
اج	'oj
اجابت	'ejAbat
اجاره	'ejAre
اجاره‌ای	'ejAre'i
اجاره‌بها	'ejArebahA
اجاره‌دار	'ejAredAr
اجاره‌دهنده	'ejAredahande
اجاره‌نامه	'ejArenAme
اجاری	'ejAri
اجار‌ه‌نشین	'ejAreneSin
اجازات	'ejAzAt
اجازت	'ejAzat
اجازه	'ejAze
اجازه‌نامه	'ejAzenAme
اجاق	'ojAq
اجاقی	'ojAqi
اجانب	'ajAneb
اجبار	'ejbAr
اجباری	'ejbAri
اجتماع	'ejtemA'
اجتماعی	'ejtemA'i
اجتماعیه	'ejtemA'iyye
اجتماعی‌اقتصادی	'ejtemA'i'eqtesAdi
اجتناب	'ejtenAb
اجتنابی	'ejtenAbi
اجتناب‌ناپذیر	'ejtenAbnApazir
اجتناب‌ناپذیری	'ejtenAbnApaziri
اجتهاد	'ejtehAd
اجتهادی	'ejtehAdi
اجحاف	'ejhAf
اجداد	'ajdAd
اجدادی	'ajdAdi
اجر	'ajr
اجرا	'ejrA
اجراء	'ejrA
اجرائی	'ejrA'i
اجرائیات	'ejrA'iyAt
اجرائیه	'ejrA'iyye
اجرام	'ajrAm
اجرامی	'ajrAmi
اجراکننده	'ejrAkonande
اجرایی	'ejrAyi
اجرا‌شده	'ejrASode
اجرا‌نشده	'ejrAnaSode
اجرت	'ojrat
اجزا	'ajzA
اجزاء	'ajzA
اجساد	'ajsAd
اجسام	'ajsAm
اجل	'ajal
اجلاس	'ejlAs
اجلاسیه	'ejlAsiyye
اجله	'ajelle
اجماع	'ejmA'
اجماعی	'ejmA'i
اجمال	'ejmAl
اجمالی	'ejmAli
اجمل	'ajmal
اجناس	'ajnAs
اجنبی	'ajnabi
اجنبی‌پرست	'ajnabiparast
اجنه	'ajenne
اجیر	'ajir
احادیث	'ahAdis
احاطه	'ehAte
احاطه‌کننده	'ehAtekonande
احاله	'ehAle
احباب	'ahbAb
احتباس	'ehtebAs
احتجاب	'ehtejAb
احتجاج	'ehtejAj
احتراز	'ehterAz
احترازی	'ehterAzi
احتراس	'ehterAs
احتراق	'ehterAq
احترام	'ehterAm
احترام‌آمیز	'ehterAmAmiz
احترام‌انگیز	'ehterAmangiz
احتساب	'ehtesAb
احتسابیه	'ehtesAbiyye
احتشام	'ehteSAm
احتضار	'ehtezAr
احتقان	'ehteqAn
احتقانی	'ehteqAni
احتلام	'ehtelAm
احتمال	'ehtemAl
احتمالی	'ehtemAli
احتوا	'ehtevA
احتکار	'ehtekAr
احتیاج	'ehtiyAj
احتیاط	'ehtiyAt
احتیاطی	'ehtiyAti
احتیاط‌آمیز	'ehtiyAtAmiz
احتیاط‌کار	'ehtiyAtkAr
احتیاط‌کاری	'ehtiyAtkAri
احجار	'ahjAr
احد	'ahad
احداث	'ehdAs
احداثی	'ehdAsi
احداث‌شده	'ehdAsSode
احداث‌کننده	'ehdAskonande
احدپور	'ahadpur
احدی	'ahadi
احدیت	'ahadiyyat
احرار	'ahrAr
احراز	'ehrAz
احراز‌شده	'ehrAzSode
احرام	'ehrAm
احرامی	'eherAmi
احزاب	'ahzAb
احزابی	'ahzAbi
احساس	'ehsAs
احساساتی	'ehsAsAti
احساسی	'ehsAsi
احساس‌برانگیز	'ehsAsbarangiz
احسان	'ehsAn
احسانی	'ehsAni
احسان‌الله	'ehsAnollAh
احسان‌بخش	'ehsAnbaxS
